split,file,json_path_used,json_candidates_tried,nodes_total,pos_vulnerable,neg_non_vulnerable
train,shard_00b2,Dataset/train/unified_aug\shard_00b2.json,"[('Dataset/train/unified_aug\\shard_00b2.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_00b2.pt', 0, 'jsonl(0 lines)')]",317,0,317
train,shard_00b5,Dataset/train/unified_aug\shard_00b5.json,"[('Dataset/train/unified_aug\\shard_00b5.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_00b5.pt', 0, 'jsonl(0 lines)')]",9856,0,9856
train,shard_00d4,Dataset/train/unified_aug\shard_00d4.json,"[('Dataset/train/unified_aug\\shard_00d4.json', 5, 'single-json')]",7588,5,7583
train,shard_00d9,Dataset/train/unified_aug\shard_00d9.json,"[('Dataset/train/unified_aug\\shard_00d9.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_00d9.pt', 0, 'jsonl(0 lines)')]",4326,0,4326
train,shard_0117,Dataset/train/unified_aug\shard_0117.json,"[('Dataset/train/unified_aug\\shard_0117.json', 3, 'single-json')]",2342,3,2339
train,shard_0143,Dataset/train/unified_aug\shard_0143.json,"[('Dataset/train/unified_aug\\shard_0143.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0143.pt', 0, 'jsonl(0 lines)')]",5446,0,5446
train,shard_0184,Dataset/train/unified_aug\shard_0184.json,"[('Dataset/train/unified_aug\\shard_0184.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0184.pt', 0, 'jsonl(0 lines)')]",10646,0,10646
train,shard_0185,Dataset/train/unified_aug\shard_0185.json,"[('Dataset/train/unified_aug\\shard_0185.json', 4, 'single-json')]",27081,4,27077
train,shard_018a,Dataset/train/unified_aug\shard_018a.json,"[('Dataset/train/unified_aug\\shard_018a.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_018a.pt', 0, 'jsonl(0 lines)')]",3674,0,3674
train,shard_01c6,Dataset/train/unified_aug\shard_01c6.json,"[('Dataset/train/unified_aug\\shard_01c6.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_01c6.pt', 0, 'jsonl(0 lines)')]",3110,0,3110
train,shard_01ca,Dataset/train/unified_aug\shard_01ca.json,"[('Dataset/train/unified_aug\\shard_01ca.json', 2, 'single-json')]",5734,2,5732
train,shard_01f4,Dataset/train/unified_aug\shard_01f4.json,"[('Dataset/train/unified_aug\\shard_01f4.json', 21, 'single-json')]",36835,21,36814
train,shard_01fa,Dataset/train/unified_aug\shard_01fa.json,"[('Dataset/train/unified_aug\\shard_01fa.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_01fa.pt', 0, 'jsonl(0 lines)')]",3499,0,3499
train,shard_0206,Dataset/train/unified_aug\shard_0206.json,"[('Dataset/train/unified_aug\\shard_0206.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0206.pt', 0, 'jsonl(0 lines)')]",1260,0,1260
train,shard_0215,Dataset/train/unified_aug\shard_0215.json,"[('Dataset/train/unified_aug\\shard_0215.json', 3, 'single-json')]",8887,3,8884
train,shard_024e,Dataset/train/unified_aug\shard_024e.json,"[('Dataset/train/unified_aug\\shard_024e.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_024e.pt', 0, 'jsonl(0 lines)')]",3134,0,3134
train,shard_025e,Dataset/train/unified_aug\shard_025e.json,"[('Dataset/train/unified_aug\\shard_025e.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_025e.pt', 0, 'jsonl(0 lines)')]",419,0,419
train,shard_025f,Dataset/train/unified_aug\shard_025f.json,"[('Dataset/train/unified_aug\\shard_025f.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_025f.pt', 0, 'jsonl(0 lines)')]",4551,0,4551
train,shard_0274,Dataset/train/unified_aug\shard_0274.json,"[('Dataset/train/unified_aug\\shard_0274.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0274.pt', 0, 'jsonl(0 lines)')]",5168,0,5168
train,shard_027c,Dataset/train/unified_aug\shard_027c.json,"[('Dataset/train/unified_aug\\shard_027c.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_027c.pt', 0, 'jsonl(0 lines)')]",210,0,210
train,shard_02c6,Dataset/train/unified_aug\shard_02c6.json,"[('Dataset/train/unified_aug\\shard_02c6.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_02c6.pt', 0, 'jsonl(0 lines)')]",23743,0,23743
train,shard_02da,Dataset/train/unified_aug\shard_02da.json,"[('Dataset/train/unified_aug\\shard_02da.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_02da.pt', 0, 'jsonl(0 lines)')]",6293,0,6293
train,shard_02f9,Dataset/train/unified_aug\shard_02f9.json,"[('Dataset/train/unified_aug\\shard_02f9.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_02f9.pt', 0, 'jsonl(0 lines)')]",1470,0,1470
train,shard_0305,Dataset/train/unified_aug\shard_0305.json,"[('Dataset/train/unified_aug\\shard_0305.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0305.pt', 0, 'jsonl(0 lines)')]",23874,0,23874
train,shard_0318,Dataset/train/unified_aug\shard_0318.json,"[('Dataset/train/unified_aug\\shard_0318.json', 4, 'single-json')]",14794,4,14790
train,shard_0334,Dataset/train/unified_aug\shard_0334.json,"[('Dataset/train/unified_aug\\shard_0334.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0334.pt', 0, 'jsonl(0 lines)')]",2448,0,2448
train,shard_033a,Dataset/train/unified_aug\shard_033a.json,"[('Dataset/train/unified_aug\\shard_033a.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_033a.pt', 0, 'jsonl(0 lines)')]",2621,0,2621
train,shard_034c,Dataset/train/unified_aug\shard_034c.json,"[('Dataset/train/unified_aug\\shard_034c.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_034c.pt', 0, 'jsonl(0 lines)')]",3441,0,3441
train,shard_035c,Dataset/train/unified_aug\shard_035c.json,"[('Dataset/train/unified_aug\\shard_035c.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_035c.pt', 0, 'jsonl(0 lines)')]",4165,0,4165
train,shard_039b,Dataset/train/unified_aug\shard_039b.json,"[('Dataset/train/unified_aug\\shard_039b.json', 6, 'single-json')]",2316,6,2310
train,shard_03c0,Dataset/train/unified_aug\shard_03c0.json,"[('Dataset/train/unified_aug\\shard_03c0.json', 10, 'single-json')]",11584,10,11574
train,shard_03d1,Dataset/train/unified_aug\shard_03d1.json,"[('Dataset/train/unified_aug\\shard_03d1.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_03d1.pt', 0, 'jsonl(0 lines)')]",4097,0,4097
train,shard_03d7,Dataset/train/unified_aug\shard_03d7.json,"[('Dataset/train/unified_aug\\shard_03d7.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_03d7.pt', 0, 'jsonl(0 lines)')]",1513,0,1513
train,shard_03dd,Dataset/train/unified_aug\shard_03dd.json,"[('Dataset/train/unified_aug\\shard_03dd.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_03dd.pt', 0, 'jsonl(0 lines)')]",2669,0,2669
train,shard_0407,Dataset/train/unified_aug\shard_0407.json,"[('Dataset/train/unified_aug\\shard_0407.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0407.pt', 0, 'jsonl(0 lines)')]",367,0,367
train,shard_0417,Dataset/train/unified_aug\shard_0417.json,"[('Dataset/train/unified_aug\\shard_0417.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0417.pt', 0, 'jsonl(0 lines)')]",21531,0,21531
train,shard_0419,Dataset/train/unified_aug\shard_0419.json,"[('Dataset/train/unified_aug\\shard_0419.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0419.pt', 0, 'jsonl(0 lines)')]",4710,0,4710
train,shard_042e,Dataset/train/unified_aug\shard_042e.json,"[('Dataset/train/unified_aug\\shard_042e.json', 6, 'single-json')]",11342,6,11336
train,shard_045a,Dataset/train/unified_aug\shard_045a.json,"[('Dataset/train/unified_aug\\shard_045a.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_045a.pt', 0, 'jsonl(0 lines)')]",5030,0,5030
train,shard_0474,Dataset/train/unified_aug\shard_0474.json,"[('Dataset/train/unified_aug\\shard_0474.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0474.pt', 0, 'jsonl(0 lines)')]",7283,0,7283
train,shard_048a,Dataset/train/unified_aug\shard_048a.json,"[('Dataset/train/unified_aug\\shard_048a.json', 5, 'single-json')]",45929,5,45924
train,shard_04a5,Dataset/train/unified_aug\shard_04a5.json,"[('Dataset/train/unified_aug\\shard_04a5.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_04a5.pt', 0, 'jsonl(0 lines)')]",11354,0,11354
train,shard_04bc,Dataset/train/unified_aug\shard_04bc.json,"[('Dataset/train/unified_aug\\shard_04bc.json', 4, 'single-json')]",4660,4,4656
train,shard_04bf,Dataset/train/unified_aug\shard_04bf.json,"[('Dataset/train/unified_aug\\shard_04bf.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_04bf.pt', 0, 'jsonl(0 lines)')]",2037,0,2037
train,shard_04c4,Dataset/train/unified_aug\shard_04c4.json,"[('Dataset/train/unified_aug\\shard_04c4.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_04c4.pt', 0, 'jsonl(0 lines)')]",6580,0,6580
train,shard_04c9,Dataset/train/unified_aug\shard_04c9.json,"[('Dataset/train/unified_aug\\shard_04c9.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_04c9.pt', 0, 'jsonl(0 lines)')]",2585,0,2585
train,shard_04d4,Dataset/train/unified_aug\shard_04d4.json,"[('Dataset/train/unified_aug\\shard_04d4.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_04d4.pt', 0, 'jsonl(0 lines)')]",2957,0,2957
train,shard_04db,Dataset/train/unified_aug\shard_04db.json,"[('Dataset/train/unified_aug\\shard_04db.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_04db.pt', 0, 'jsonl(0 lines)')]",3057,0,3057
train,shard_04e2,Dataset/train/unified_aug\shard_04e2.json,"[('Dataset/train/unified_aug\\shard_04e2.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_04e2.pt', 0, 'jsonl(0 lines)')]",3622,0,3622
train,shard_04f2,Dataset/train/unified_aug\shard_04f2.json,"[('Dataset/train/unified_aug\\shard_04f2.json', 38, 'single-json')]",25552,38,25514
train,shard_04f5,Dataset/train/unified_aug\shard_04f5.json,"[('Dataset/train/unified_aug\\shard_04f5.json', 2, 'single-json')]",17190,2,17188
train,shard_050f,Dataset/train/unified_aug\shard_050f.json,"[('Dataset/train/unified_aug\\shard_050f.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_050f.pt', 0, 'jsonl(0 lines)')]",12452,0,12452
train,shard_0518,Dataset/train/unified_aug\shard_0518.json,"[('Dataset/train/unified_aug\\shard_0518.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0518.pt', 0, 'jsonl(0 lines)')]",122,0,122
train,shard_051a,Dataset/train/unified_aug\shard_051a.json,"[('Dataset/train/unified_aug\\shard_051a.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_051a.pt', 0, 'jsonl(0 lines)')]",6017,0,6017
train,shard_053e,Dataset/train/unified_aug\shard_053e.json,"[('Dataset/train/unified_aug\\shard_053e.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_053e.pt', 0, 'jsonl(0 lines)')]",7479,0,7479
train,shard_0558,Dataset/train/unified_aug\shard_0558.json,"[('Dataset/train/unified_aug\\shard_0558.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0558.pt', 0, 'jsonl(0 lines)')]",13442,0,13442
train,shard_055e,Dataset/train/unified_aug\shard_055e.json,"[('Dataset/train/unified_aug\\shard_055e.json', 6, 'single-json')]",32845,6,32839
train,shard_0569,Dataset/train/unified_aug\shard_0569.json,"[('Dataset/train/unified_aug\\shard_0569.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0569.pt', 0, 'jsonl(0 lines)')]",7894,0,7894
train,shard_056a,Dataset/train/unified_aug\shard_056a.json,"[('Dataset/train/unified_aug\\shard_056a.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_056a.pt', 0, 'jsonl(0 lines)')]",6308,0,6308
train,shard_057b,Dataset/train/unified_aug\shard_057b.json,"[('Dataset/train/unified_aug\\shard_057b.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_057b.pt', 0, 'jsonl(0 lines)')]",2399,0,2399
train,shard_058f,Dataset/train/unified_aug\shard_058f.json,"[('Dataset/train/unified_aug\\shard_058f.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_058f.pt', 0, 'jsonl(0 lines)')]",1695,0,1695
train,shard_05a9,Dataset/train/unified_aug\shard_05a9.json,"[('Dataset/train/unified_aug\\shard_05a9.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_05a9.pt', 0, 'jsonl(0 lines)')]",2946,0,2946
train,shard_05ab,Dataset/train/unified_aug\shard_05ab.json,"[('Dataset/train/unified_aug\\shard_05ab.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_05ab.pt', 0, 'jsonl(0 lines)')]",9574,0,9574
train,shard_05b2,Dataset/train/unified_aug\shard_05b2.json,"[('Dataset/train/unified_aug\\shard_05b2.json', 2, 'single-json')]",8528,2,8526
train,shard_05bb,Dataset/train/unified_aug\shard_05bb.json,"[('Dataset/train/unified_aug\\shard_05bb.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_05bb.pt', 0, 'jsonl(0 lines)')]",1916,0,1916
train,shard_05ca,Dataset/train/unified_aug\shard_05ca.json,"[('Dataset/train/unified_aug\\shard_05ca.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_05ca.pt', 0, 'jsonl(0 lines)')]",9681,0,9681
train,shard_0600,Dataset/train/unified_aug\shard_0600.json,"[('Dataset/train/unified_aug\\shard_0600.json', 2, 'single-json')]",8487,2,8485
train,shard_0606,Dataset/train/unified_aug\shard_0606.json,"[('Dataset/train/unified_aug\\shard_0606.json', 2, 'single-json')]",9287,2,9285
train,shard_061e,Dataset/train/unified_aug\shard_061e.json,"[('Dataset/train/unified_aug\\shard_061e.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_061e.pt', 0, 'jsonl(0 lines)')]",3055,0,3055
train,shard_0625,Dataset/train/unified_aug\shard_0625.json,"[('Dataset/train/unified_aug\\shard_0625.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0625.pt', 0, 'jsonl(0 lines)')]",22055,0,22055
train,shard_062d,Dataset/train/unified_aug\shard_062d.json,"[('Dataset/train/unified_aug\\shard_062d.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_062d.pt', 0, 'jsonl(0 lines)')]",3581,0,3581
train,shard_0641,Dataset/train/unified_aug\shard_0641.json,"[('Dataset/train/unified_aug\\shard_0641.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0641.pt', 0, 'jsonl(0 lines)')]",4563,0,4563
train,shard_0660,Dataset/train/unified_aug\shard_0660.json,"[('Dataset/train/unified_aug\\shard_0660.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0660.pt', 0, 'jsonl(0 lines)')]",841,0,841
train,shard_0675,Dataset/train/unified_aug\shard_0675.json,"[('Dataset/train/unified_aug\\shard_0675.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0675.pt', 0, 'jsonl(0 lines)')]",13156,0,13156
train,shard_06b6,Dataset/train/unified_aug\shard_06b6.json,"[('Dataset/train/unified_aug\\shard_06b6.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_06b6.pt', 0, 'jsonl(0 lines)')]",1987,0,1987
train,shard_06bd,Dataset/train/unified_aug\shard_06bd.json,"[('Dataset/train/unified_aug\\shard_06bd.json', 12, 'single-json')]",16011,12,15999
train,shard_06ce,Dataset/train/unified_aug\shard_06ce.json,"[('Dataset/train/unified_aug\\shard_06ce.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_06ce.pt', 0, 'jsonl(0 lines)')]",31513,0,31513
train,shard_06de,Dataset/train/unified_aug\shard_06de.json,"[('Dataset/train/unified_aug\\shard_06de.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_06de.pt', 0, 'jsonl(0 lines)')]",802,0,802
train,shard_06ea,Dataset/train/unified_aug\shard_06ea.json,"[('Dataset/train/unified_aug\\shard_06ea.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_06ea.pt', 0, 'jsonl(0 lines)')]",217,0,217
train,shard_06ee,Dataset/train/unified_aug\shard_06ee.json,"[('Dataset/train/unified_aug\\shard_06ee.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_06ee.pt', 0, 'jsonl(0 lines)')]",1849,0,1849
train,shard_06f1,Dataset/train/unified_aug\shard_06f1.json,"[('Dataset/train/unified_aug\\shard_06f1.json', 2, 'single-json')]",1513,2,1511
train,shard_070e,Dataset/train/unified_aug\shard_070e.json,"[('Dataset/train/unified_aug\\shard_070e.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_070e.pt', 0, 'jsonl(0 lines)')]",4605,0,4605
train,shard_0720,Dataset/train/unified_aug\shard_0720.json,"[('Dataset/train/unified_aug\\shard_0720.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0720.pt', 0, 'jsonl(0 lines)')]",5706,0,5706
train,shard_0726,Dataset/train/unified_aug\shard_0726.json,"[('Dataset/train/unified_aug\\shard_0726.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0726.pt', 0, 'jsonl(0 lines)')]",4146,0,4146
train,shard_0739,Dataset/train/unified_aug\shard_0739.json,"[('Dataset/train/unified_aug\\shard_0739.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0739.pt', 0, 'jsonl(0 lines)')]",12421,0,12421
train,shard_073c,Dataset/train/unified_aug\shard_073c.json,"[('Dataset/train/unified_aug\\shard_073c.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_073c.pt', 0, 'jsonl(0 lines)')]",471,0,471
train,shard_073d,Dataset/train/unified_aug\shard_073d.json,"[('Dataset/train/unified_aug\\shard_073d.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_073d.pt', 0, 'jsonl(0 lines)')]",4812,0,4812
train,shard_0753,Dataset/train/unified_aug\shard_0753.json,"[('Dataset/train/unified_aug\\shard_0753.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0753.pt', 0, 'jsonl(0 lines)')]",2330,0,2330
train,shard_0767,Dataset/train/unified_aug\shard_0767.json,"[('Dataset/train/unified_aug\\shard_0767.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0767.pt', 0, 'jsonl(0 lines)')]",4391,0,4391
train,shard_076a,Dataset/train/unified_aug\shard_076a.json,"[('Dataset/train/unified_aug\\shard_076a.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_076a.pt', 0, 'jsonl(0 lines)')]",18771,0,18771
train,shard_0773,Dataset/train/unified_aug\shard_0773.json,"[('Dataset/train/unified_aug\\shard_0773.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0773.pt', 0, 'jsonl(0 lines)')]",9192,0,9192
train,shard_077b,Dataset/train/unified_aug\shard_077b.json,"[('Dataset/train/unified_aug\\shard_077b.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_077b.pt', 0, 'jsonl(0 lines)')]",3074,0,3074
train,shard_0790,Dataset/train/unified_aug\shard_0790.json,"[('Dataset/train/unified_aug\\shard_0790.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0790.pt', 0, 'jsonl(0 lines)')]",1443,0,1443
train,shard_07b4,Dataset/train/unified_aug\shard_07b4.json,"[('Dataset/train/unified_aug\\shard_07b4.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_07b4.pt', 0, 'jsonl(0 lines)')]",4452,0,4452
train,shard_07ee,Dataset/train/unified_aug\shard_07ee.json,"[('Dataset/train/unified_aug\\shard_07ee.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_07ee.pt', 0, 'jsonl(0 lines)')]",635,0,635
train,shard_07f1,Dataset/train/unified_aug\shard_07f1.json,"[('Dataset/train/unified_aug\\shard_07f1.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_07f1.pt', 0, 'jsonl(0 lines)')]",6222,0,6222
train,shard_07f4,Dataset/train/unified_aug\shard_07f4.json,"[('Dataset/train/unified_aug\\shard_07f4.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_07f4.pt', 0, 'jsonl(0 lines)')]",6462,0,6462
train,shard_0837,Dataset/train/unified_aug\shard_0837.json,"[('Dataset/train/unified_aug\\shard_0837.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0837.pt', 0, 'jsonl(0 lines)')]",3832,0,3832
train,shard_0840,Dataset/train/unified_aug\shard_0840.json,"[('Dataset/train/unified_aug\\shard_0840.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0840.pt', 0, 'jsonl(0 lines)')]",3312,0,3312
train,shard_0849,Dataset/train/unified_aug\shard_0849.json,"[('Dataset/train/unified_aug\\shard_0849.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0849.pt', 0, 'jsonl(0 lines)')]",14473,0,14473
train,shard_086b,Dataset/train/unified_aug\shard_086b.json,"[('Dataset/train/unified_aug\\shard_086b.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_086b.pt', 0, 'jsonl(0 lines)')]",1565,0,1565
train,shard_086e,Dataset/train/unified_aug\shard_086e.json,"[('Dataset/train/unified_aug\\shard_086e.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_086e.pt', 0, 'jsonl(0 lines)')]",1365,0,1365
train,shard_088a,Dataset/train/unified_aug\shard_088a.json,"[('Dataset/train/unified_aug\\shard_088a.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_088a.pt', 0, 'jsonl(0 lines)')]",13974,0,13974
train,shard_089b,Dataset/train/unified_aug\shard_089b.json,"[('Dataset/train/unified_aug\\shard_089b.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_089b.pt', 0, 'jsonl(0 lines)')]",5193,0,5193
train,shard_089f,Dataset/train/unified_aug\shard_089f.json,"[('Dataset/train/unified_aug\\shard_089f.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_089f.pt', 0, 'jsonl(0 lines)')]",1386,0,1386
train,shard_08ae,Dataset/train/unified_aug\shard_08ae.json,"[('Dataset/train/unified_aug\\shard_08ae.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_08ae.pt', 0, 'jsonl(0 lines)')]",6931,0,6931
train,shard_091b,Dataset/train/unified_aug\shard_091b.json,"[('Dataset/train/unified_aug\\shard_091b.json', 3, 'single-json')]",23133,3,23130
train,shard_0926,Dataset/train/unified_aug\shard_0926.json,"[('Dataset/train/unified_aug\\shard_0926.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0926.pt', 0, 'jsonl(0 lines)')]",1279,0,1279
train,shard_0927,Dataset/train/unified_aug\shard_0927.json,"[('Dataset/train/unified_aug\\shard_0927.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0927.pt', 0, 'jsonl(0 lines)')]",32008,0,32008
train,shard_0930,Dataset/train/unified_aug\shard_0930.json,"[('Dataset/train/unified_aug\\shard_0930.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0930.pt', 0, 'jsonl(0 lines)')]",1210,0,1210
train,shard_096c,Dataset/train/unified_aug\shard_096c.json,"[('Dataset/train/unified_aug\\shard_096c.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_096c.pt', 0, 'jsonl(1 lines)')]",849,0,849
train,shard_096f,Dataset/train/unified_aug\shard_096f.json,"[('Dataset/train/unified_aug\\shard_096f.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_096f.pt', 0, 'jsonl(0 lines)')]",6778,0,6778
train,shard_0979,Dataset/train/unified_aug\shard_0979.json,"[('Dataset/train/unified_aug\\shard_0979.json', 11, 'single-json')]",2890,11,2879
train,shard_09a2,Dataset/train/unified_aug\shard_09a2.json,"[('Dataset/train/unified_aug\\shard_09a2.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_09a2.pt', 0, 'jsonl(0 lines)')]",2395,0,2395
train,shard_09b9,Dataset/train/unified_aug\shard_09b9.json,"[('Dataset/train/unified_aug\\shard_09b9.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_09b9.pt', 0, 'jsonl(0 lines)')]",2038,0,2038
train,shard_09ba,Dataset/train/unified_aug\shard_09ba.json,"[('Dataset/train/unified_aug\\shard_09ba.json', 11, 'single-json')]",40069,11,40058
train,shard_09ca,Dataset/train/unified_aug\shard_09ca.json,"[('Dataset/train/unified_aug\\shard_09ca.json', 2, 'single-json')]",8073,2,8071
train,shard_09cc,Dataset/train/unified_aug\shard_09cc.json,"[('Dataset/train/unified_aug\\shard_09cc.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_09cc.pt', 0, 'jsonl(0 lines)')]",1951,0,1951
